City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tommot,58.9564,126.2925,47.12,97,100,12.03,RU,1687301509
83,yellowknife,62.456,-114.3525,66.72,32,75,0.0,CA,1687301510
84,tiksi,71.6872,128.8694,46.27,83,96,3.67,RU,1687301331
85,nha trang,12.25,109.1833,80.6,81,63,4.5,VN,1687301510
86,kapuskasing,49.4169,-82.4331,89.6,23,20,2.3,CA,1687301222
87,udachny,66.4167,112.4,53.46,46,100,11.95,RU,1687301511
88,maryville,35.7565,-83.9705,74.26,90,100,4.61,US,1687301511
89,talnakh,69.4865,88.3972,36.21,95,100,0.43,RU,1687301511
90,fortuna,40.5982,-124.1573,65.93,66,40,14.97,US,1687301512
91,shakawe,-18.3667,21.85,54.7,29,0,5.03,BW,1687301512
92,al bardiyah,31.7561,25.0865,71.08,82,0,8.43,LY,1687301512
93,shenjiamen,29.9576,122.298,74.07,95,99,7.25,CN,1687301512
94,saldanha,-33.0117,17.9442,44.65,77,83,6.13,ZA,1687301513
95,springbok,-29.6643,17.8865,45.86,50,7,5.41,ZA,1687301513
96,stawell,-37.05,142.7667,36.99,83,2,3.91,AU,1687301513
97,aykhal,66.0,111.5,53.11,49,94,12.33,RU,1687301513
98,pontal,-21.0225,-48.0372,70.07,60,0,3.31,BR,1687301477
99,vorkuta,67.5,64.0,33.75,86,83,14.76,RU,1687301514
100,hassi messaoud,31.6804,6.0729,94.86,11,0,9.22,DZ,1687301514
101,utrik,11.2278,169.8474,82.35,78,100,17.22,MH,1687301514
102,bilibino,68.0546,166.4372,58.73,42,0,3.22,RU,1687301515
103,paradip garh,20.3167,86.6167,84.07,87,95,13.15,IN,1687301515
104,afaahiti,-17.75,-149.2833,85.87,77,71,5.14,PF,1687301515
105,mutoko,-17.397,32.2268,50.27,36,1,3.71,ZW,1687301516
106,galliano,29.4422,-90.2992,86.0,73,100,17.27,US,1687301516
107,sisli,41.0605,28.9872,67.71,83,0,4.61,TR,1687301516
108,gray,35.4167,-100.802,100.2,14,60,10.4,US,1687300952
109,island harbour,50.724,-1.2758,63.32,92,3,3.0,GB,1687301517
110,maceio,-9.6658,-35.7353,76.44,83,20,4.61,BR,1687301517
111,werota,11.9167,37.7,66.11,80,77,0.94,ET,1687301517
112,tura,25.5198,90.2201,74.07,99,100,5.99,IN,1687301517
113,igarka,67.4667,86.5833,42.42,76,92,8.81,RU,1687301518
114,san antonio de pale,-1.4014,5.6325,75.67,72,91,12.86,GQ,1687301518
115,anadyr,64.75,177.4833,59.5,58,0,6.71,RU,1687301518
116,oistins,13.0667,-59.5333,84.29,79,20,13.8,BB,1687301518
117,namibe,-15.1961,12.1522,63.91,87,45,3.6,AO,1687301519
118,suksun,57.1431,57.3949,42.12,88,97,11.77,RU,1687301519
119,argo,37.6333,22.7333,71.78,58,0,3.91,GR,1687301519
120,olyokminsk,60.3736,120.4264,56.5,54,100,8.12,RU,1687301519
121,upland,34.0975,-117.6484,86.61,44,0,14.97,US,1687301453
122,vilyuchinsk,52.9306,158.4028,55.67,78,100,10.25,RU,1687301520
123,touros,-5.1989,-35.4608,76.93,84,76,12.8,BR,1687301266
124,kirakira,-10.4544,161.9205,81.86,82,100,11.21,SB,1687301520
125,badger,64.8,-147.5333,62.85,64,75,3.44,US,1687301521
126,invercargill,-46.4,168.35,46.45,84,15,3.65,NZ,1687301285
127,gisborne,-38.6533,178.0042,54.43,90,92,2.91,NZ,1687301269
128,sao jose da coroa grande,-8.8978,-35.1478,75.92,77,80,9.66,BR,1687301522
129,kingston,17.997,-76.7936,88.75,72,20,20.71,JM,1687301522
130,marsabit,2.3284,37.9899,63.77,74,5,18.75,KE,1687301522
131,nar'yan-mar,67.6713,53.087,39.97,84,92,11.77,RU,1687301522
132,wanning,18.8003,110.3967,81.93,90,28,8.52,CN,1687301523
133,tafuna,-14.3358,-170.72,80.55,94,100,11.5,AS,1687301523
134,kodiak,57.79,-152.4072,54.91,88,75,9.22,US,1687301486
135,mithi,24.7318,69.7981,82.72,77,57,16.26,PK,1687301523
136,rotonda west,26.8837,-82.2901,87.82,85,20,11.5,US,1687301524
137,aljezur,37.3191,-8.8033,63.1,89,45,7.05,PT,1687301524
138,kununurra,-15.7667,128.7333,58.98,88,11,2.3,AU,1687301524
139,kunshan,31.3776,120.9543,76.91,74,100,3.85,CN,1687301525
140,maxixe,-23.8597,35.3472,68.99,76,21,13.98,MZ,1687301525
141,bechar,31.6167,-2.2167,88.12,11,0,5.75,DZ,1687301525
142,fort st. john,56.2499,-120.8529,66.09,34,75,5.75,CA,1687301525
143,yorkton,51.2167,-102.4677,76.84,41,0,8.05,CA,1687301526
144,dazhou,31.2159,107.5009,69.89,92,100,1.77,CN,1687301526
145,caleta de carquin,-11.0925,-77.6267,68.9,78,11,10.02,PE,1687301526
146,preobrazheniye,42.9019,133.9064,62.08,77,100,3.89,RU,1687301527
147,gozyeri,40.866,32.5417,51.94,96,53,2.17,TR,1687301527
148,meridian,43.6121,-116.3915,64.22,39,20,20.71,US,1687301527
149,waitara,-38.925,174.25,61.23,77,53,14.16,NZ,1687301528
150,pemangkat,1.1667,108.9667,78.06,90,100,5.88,ID,1687301528
151,hermanus,-34.4187,19.2345,52.59,73,79,13.2,ZA,1687301528
152,kamloops,50.6665,-120.3192,60.57,71,75,6.91,CA,1687301443
153,zelenoborskiy,66.845,32.3622,49.46,70,96,4.7,RU,1687301529
154,ostersund,63.1792,14.6357,64.85,32,70,11.5,SE,1687301529
155,al qusayr,34.5091,36.5798,68.04,61,0,2.75,SY,1687301530
156,tazacorte,28.629,-17.9293,72.57,89,75,3.44,ES,1687301530
157,brisas de zicatela,15.8369,-97.0419,87.49,68,20,7.02,MX,1687301531
158,thompson,55.7435,-97.8558,78.96,53,75,5.75,CA,1687301401
159,wailua homesteads,22.0669,-159.378,82.83,74,20,12.66,US,1687301531
160,duartina,-22.4144,-49.4039,70.95,74,0,3.49,BR,1687301531
161,watsa,3.0372,29.5355,65.08,97,100,1.81,CD,1687301532
162,fukuecho,32.6881,128.8419,74.44,94,100,9.44,JP,1687301532
163,navia,43.5354,-6.7194,58.21,92,99,3.0,ES,1687301532
164,margate,51.3813,1.3862,62.69,86,42,5.99,GB,1687301533
165,villa gesell,-37.2639,-56.973,51.71,88,55,5.66,AR,1687301533
166,jamestown,42.097,-79.2353,81.99,72,100,4.61,US,1687301517
167,mersa matruh,31.3525,27.2453,71.8,88,0,8.05,EG,1687301534
168,aitape,-3.1374,142.3475,80.85,79,70,3.38,PG,1687301534
169,zlotoryja,51.1264,15.9198,71.69,96,95,6.58,PL,1687301534
170,labrador city,52.9463,-66.9114,75.11,33,20,12.66,CA,1687301534
171,yarmouth,41.7057,-70.2286,65.97,75,40,9.22,US,1687301535
172,puerto san jose,13.9256,-90.8244,85.24,73,66,7.63,GT,1687301535
173,keflavik,64.0049,-22.5624,51.71,81,40,18.41,IS,1687301535
174,axim,4.8699,-2.2405,75.7,94,100,6.33,GH,1687301535
175,trairi,-3.2778,-39.2689,79.41,78,100,9.48,BR,1687301536
176,kudahuvadhoo,2.6708,72.8944,82.45,78,76,15.95,MV,1687301536
177,ouesso,1.6136,16.0517,70.7,97,52,2.1,CG,1687301536
